Time,Station,Load,EV_count
34,9,96,3
34,10,273,10
35,1,0,0
35,2,0,0
35,3,0,0
35,4,0,0
35,5,0,0
35,6,0,0
35,7,40,2
35,8,0,0
35,9,74,2
35,10,273,10
36,1,0,0
36,2,0,0
36,3,0,0
36,4,0,0
36,5,0,0
36,6,0,0
36,7,40,2
36,8,0,0
36,9,117,3
36,10,273,10
37,1,0,0
37,2,0,0
37,3,0,0
37,4,0,0
37,5,0,0
37,6,0,0
37,7,40,2
37,8,0,0
37,9,117,3
37,10,273,10
38,1,0,0
38,2,0,0
38,3,0,0
38,4,0,0
38,5,0,0
38,6,0,0
38,7,40,2
38,8,0,0
38,9,117,3
38,10,313,11
39,1,0,0
39,2,0,0
39,3,0,0
39,4,0,0
39,5,0,0
39,6,0,0
39,7,40,2
39,8,0,0
39,9,147,4
39,10,313,11
40,1,0,0
40,2,0,0
40,3,0,0
40,4,0,0
40,5,0,0
40,6,0,0
40,7,14,1
40,8,0,0
40,9,147,4
40,10,313,11
41,1,0,0
41,2,0,0
41,3,0,0
41,4,10,1
41,5,0,0
41,6,0,0
41,7,14,1
41,8,0,0
41,9,147,4
41,10,290,10
42,1,0,0
42,2,0,0
42,3,0,0
42,4,10,1
42,5,0,0
42,6,0,0
42,7,14,1
42,8,0,0
42,9,192,5
42,10,244,9
43,1,0,0
43,2,0,0
43,3,0,0
43,4,10,1
43,5,0,0
43,6,0,0
43,7,14,1
43,8,0,0
43,9,192,5
43,10,198,8
44,1,0,0
44,2,0,0
44,3,0,0
44,4,10,1
44,5,0,0
44,6,0,0
44,7,14,1
44,8,0,0
44,9,192,5
44,10,173,8
45,1,0,0
45,2,0,0
45,3,0,0
45,4,10,1
45,5,0,0
45,6,0,0
45,7,32,2
45,8,0,0
45,9,192,5
45,10,147,7
46,1,0,0
46,2,0,0
46,3,0,0
46,4,10,1
46,5,0,0
46,6,0,0
46,7,32,2
46,8,0,0
46,9,192,5
46,10,125,6
47,1,0,0
47,2,0,0
47,3,0,0
47,4,10,1
47,5,0,0
47,6,0,0
47,7,32,2
47,8,11,1
47,9,192,5
47,10,112,5
48,1,0,0
48,2,0,0
48,3,0,0
48,4,10,1
48,5,0,0
48,6,0,0
48,7,32,2
48,8,11,1
48,9,192,5
48,10,118,5
49,1,0,0
49,2,0,0
49,3,0,0
49,4,10,1
49,5,0,0
49,6,0,0
49,7,32,2
49,8,50,2
49,9,192,5
49,10,106,4
50,1,0,0
50,2,0,0
50,3,0,0
50,4,10,1
50,5,0,0
50,6,0,0
50,7,32,2
50,8,50,2
50,9,203,6
50,10,96,3
51,1,0,0
51,2,0,0
51,3,0,0
51,4,0,0
51,5,0,0
51,6,0,0
51,7,32,2
51,8,50,2
51,9,235,7
51,10,96,3
52,1,0,0
52,2,0,0
52,3,0,0
52,4,0,0
52,5,0,0
52,6,0,0
52,7,32,2
52,8,50,2
52,9,235,7
52,10,96,3
53,1,0,0
53,2,0,0
53,3,0,0
53,4,0,0
53,5,0,0
53,6,0,0
53,7,32,2
53,8,50,2
53,9,235,7
53,10,96,3
54,1,0,0
54,2,0,0
54,3,0,0
54,4,0,0
54,5,0,0
54,6,0,0
54,7,32,2
54,8,50,2
54,9,235,7
54,10,143,4
55,1,0,0
55,2,0,0
55,3,0,0
55,4,0,0
55,5,0,0
55,6,0,0
55,7,32,2
55,8,50,2
55,9,235,7
55,10,143,4
56,1,0,0
56,2,0,0
56,3,0,0
56,4,0,0
56,5,0,0
56,6,0,0
56,7,32,2
56,8,50,2
56,9,235,7
56,10,187,5
57,1,0,0
57,2,0,0
57,3,0,0
57,4,0,0
57,5,0,0
57,6,0,0
57,7,32,2
57,8,50,2
57,9,235,7
57,10,187,5
58,1,0,0
58,2,0,0
58,3,0,0
58,4,0,0
58,5,0,0
58,6,49,1
58,7,32,2
58,8,50,2
58,9,235,7
58,10,187,5
59,1,0,0
59,2,0,0
59,3,0,0
59,4,0,0
59,5,0,0
59,6,49,1
59,7,32,2
59,8,50,2
59,9,203,6
59,10,232,6
60,1,0,0
60,2,0,0
60,3,0,0
60,4,0,0
60,5,0,0
60,6,49,1
60,7,32,2
60,8,50,2
60,9,161,5
60,10,274,7
61,1,0,0
61,2,0,0
61,3,0,0
61,4,0,0
61,5,0,0
61,6,49,1
61,7,32,2
61,8,50,2
61,9,161,5
61,10,274,7
62,1,0,0
62,2,0,0
62,3,0,0
62,4,0,0
62,5,0,0
62,6,49,1
62,7,32,2
62,8,50,2
62,9,161,5
62,10,274,7
63,1,0,0
63,2,0,0
63,3,0,0
63,4,0,0
63,5,0,0
63,6,49,1
63,7,80,3
63,8,50,2
63,9,161,5
63,10,234,6
64,1,0,0
64,2,0,0
64,3,0,0
64,4,0,0
64,5,0,0
64,6,49,1
64,7,80,3
64,8,50,2
64,9,204,6
64,10,224,5
65,1,0,0
65,2,0,0
65,3,0,0
65,4,0,0
65,5,0,0
65,6,49,1
65,7,80,3
65,8,50,2
65,9,204,6
65,10,178,4
66,1,0,0
66,2,0,0
66,3,0,0
66,4,0,0
66,5,0,0
66,6,49,1
66,7,80,3
66,8,50,2
66,9,204,6
66,10,178,4
67,1,0,0
67,2,0,0
67,3,0,0
67,4,0,0
67,5,0,0
67,6,0,0
67,7,92,4
67,8,50,2
67,9,204,6
67,10,178,4
68,1,0,0
68,2,0,0
68,3,0,0
68,4,0,0
68,5,0,0
68,6,0,0
68,7,92,4
68,8,76,3
68,9,204,6
68,10,178,4
69,1,0,0
69,2,0,0
69,3,0,0
69,4,0,0
69,5,0,0
69,6,0,0
69,7,92,4
69,8,76,3
69,9,204,6
69,10,178,4
70,1,0,0
70,2,0,0
70,3,0,0
70,4,0,0
70,5,0,0
70,6,0,0
70,7,78,3
70,8,76,3
70,9,204,6
70,10,199,5
71,1,0,0
71,2,0,0
71,3,0,0
71,4,0,0
71,5,0,0
71,6,0,0
71,7,60,2
71,8,105,4
71,9,204,6
71,10,199,5
72,1,0,0
72,2,0,0
72,3,0,0
72,4,0,0
72,5,0,0
72,6,0,0
72,7,60,2
72,8,105,4
72,9,204,6
72,10,199,5
73,1,0,0
73,2,0,0
73,3,0,0
73,4,0,0
73,5,0,0
73,6,0,0
73,7,60,2
73,8,105,4
73,9,204,6
73,10,199,5
74,1,0,0
74,2,0,0
74,3,0,0
74,4,0,0
74,5,0,0
74,6,0,0
74,7,60,2
74,8,105,4
74,9,204,6
74,10,199,5
75,1,0,0
75,2,0,0
75,3,0,0
75,4,0,0
75,5,0,0
75,6,0,0
75,7,60,2
75,8,105,4
75,9,204,6
75,10,199,5
76,1,0,0
76,2,0,0
76,3,0,0
76,4,0,0
76,5,0,0
76,6,0,0
76,7,60,2
76,8,105,4
76,9,236,7
76,10,199,5
77,1,0,0
77,2,0,0
77,3,0,0
77,4,0,0
77,5,0,0
77,6,0,0
77,7,60,2
77,8,105,4
77,9,236,7
77,10,238,6
78,1,0,0
78,2,0,0
78,3,0,0
78,4,0,0
78,5,0,0
78,6,0,0
78,7,60,2
78,8,141,5
78,9,236,7
78,10,238,6
79,1,0,0
79,2,0,0
79,3,0,0
79,4,0,0
79,5,0,0
79,6,0,0
79,7,60,2
79,8,187,6
79,9,236,7
79,10,238,6
80,1,0,0
80,2,0,0
80,3,0,0
80,4,0,0
80,5,0,0
80,6,0,0
80,7,60,2
80,8,187,6
80,9,236,7
80,10,284,7
81,1,0,0
81,2,0,0
81,3,0,0
81,4,0,0
81,5,0,0
81,6,0,0
81,7,60,2
81,8,187,6
81,9,236,7
81,10,284,7
82,1,0,0
82,2,0,0
82,3,0,0
82,4,0,0
82,5,0,0
82,6,0,0
82,7,60,2
82,8,187,6
82,9,236,7
82,10,321,8
83,1,0,0
83,2,0,0
83,3,0,0
83,4,0,0
83,5,0,0
83,6,0,0
83,7,60,2
83,8,187,6
83,9,236,7
83,10,321,8
84,1,0,0
84,2,0,0
84,3,0,0
84,4,0,0
84,5,0,0
84,6,0,0
84,7,60,2
84,8,187,6
84,9,236,7
84,10,321,8
85,1,0,0
85,2,0,0
85,3,0,0
85,4,0,0
85,5,0,0
85,6,0,0
85,7,60,2
85,8,187,6
85,9,236,7
85,10,321,8
86,1,0,0
86,2,0,0
86,3,0,0
86,4,0,0
86,5,15,1
86,6,0,0
86,7,60,2
86,8,187,6
86,9,236,7
86,10,321,8
87,1,0,0
87,2,0,0
87,3,0,0
87,4,0,0
87,5,15,1
87,6,0,0
87,7,60,2
87,8,187,6
87,9,236,7
87,10,321,8
88,1,0,0
88,2,0,0
88,3,0,0
88,4,0,0
88,5,15,1
88,6,0,0
88,7,60,2
88,8,187,6
88,9,236,7
88,10,321,8
89,1,0,0
89,2,0,0
89,3,0,0
89,4,0,0
89,5,0,0
89,6,0,0
89,7,60,2
89,8,176,5
89,9,236,7
89,10,288,8
90,1,0,0
90,2,0,0
90,3,0,0
90,4,0,0
90,5,0,0
90,6,0,0
90,7,60,2
90,8,137,4
90,9,280,8
90,10,244,7
91,1,0,0
91,2,0,0
91,3,0,0
91,4,0,0
91,5,0,0
91,6,0,0
91,7,60,2
91,8,137,4
91,9,280,8
91,10,199,6
92,1,0,0
92,2,0,0
92,3,0,0
92,4,0,0
92,5,0,0
92,6,0,0
92,7,60,2
92,8,137,4
92,9,280,8
92,10,157,5
93,1,0,0
93,2,0,0
93,3,0,0
93,4,0,0
93,5,0,0
93,6,0,0
93,7,60,2
93,8,137,4
93,9,280,8
93,10,184,6
94,1,0,0
94,2,0,0
94,3,0,0
94,4,0,0
94,5,0,0
94,6,0,0
94,7,12,1
94,8,137,4
94,9,280,8
94,10,184,6
95,1,0,0
95,2,0,0
95,3,0,0
95,4,0,0
95,5,0,0
95,6,0,0
95,7,0,0
95,8,137,4
95,9,298,9
95,10,184,6
96,1,0,0
96,2,0,0
96,3,0,0
96,4,0,0
96,5,0,0
96,6,0,0
96,7,0,0
96,8,137,4
96,9,311,10
96,10,184,6
97,1,0,0
97,2,0,0
97,3,0,0
97,4,0,0
97,5,0,0
97,6,0,0
97,7,0,0
97,8,137,4
97,9,311,10
97,10,184,6
98,1,0,0
98,2,0,0
98,3,0,0
98,4,0,0
98,5,0,0
98,6,0,0
98,7,0,0
98,8,137,4
98,9,311,10
98,10,184,6
99,1,0,0
99,2,0,0
99,3,0,0
99,4,0,0
99,5,0,0
99,6,0,0
99,7,0,0
99,8,137,4
99,9,311,10
99,10,184,6
100,1,0,0
100,2,0,0
100,3,0,0
100,4,0,0
100,5,0,0
100,6,0,0
100,7,0,0
100,8,181,5
100,9,311,10
100,10,184,6
101,1,0,0
101,2,0,0
101,3,0,0
101,4,0,0
101,5,0,0
101,6,0,0
101,7,0,0
101,8,181,5
101,9,311,10
101,10,228,7
102,1,0,0
102,2,0,0
102,3,0,0
102,4,0,0
102,5,0,0
102,6,0,0
102,7,0,0
102,8,181,5
102,9,328,11
102,10,228,7
103,1,0,0
103,2,0,0
103,3,0,0
103,4,0,0
103,5,0,0
103,6,0,0
103,7,0,0
103,8,181,5
103,9,345,12
103,10,228,7
104,1,0,0
104,2,0,0
104,3,0,0
104,4,0,0
104,5,0,0
104,6,0,0
104,7,0,0
104,8,181,5
104,9,390,13
104,10,228,7
105,1,0,0
105,2,0,0
105,3,0,0
105,4,0,0
105,5,0,0
105,6,0,0
105,7,0,0
105,8,181,5
105,9,390,13
105,10,252,7
106,1,0,0
106,2,0,0
106,3,0,0
106,4,0,0
106,5,0,0
106,6,0,0
106,7,0,0
106,8,181,5
106,9,390,13
106,10,213,6
107,1,0,0
107,2,0,0
107,3,0,0
107,4,0,0
107,5,0,0
107,6,0,0
107,7,0,0
107,8,181,5
107,9,390,13
107,10,167,5
108,1,0,0
108,2,0,0
108,3,0,0
108,4,0,0
108,5,0,0
108,6,0,0
108,7,0,0
108,8,181,5
108,9,390,13
108,10,210,6
109,1,0,0
109,2,0,0
109,3,0,0
109,4,0,0
109,5,0,0
109,6,0,0
109,7,0,0
109,8,181,5
109,9,390,13
109,10,210,6
110,1,0,0
110,2,0,0
110,3,0,0
110,4,0,0
110,5,0,0
110,6,0,0
110,7,0,0
110,8,218,6
110,9,390,13
110,10,210,6
111,1,0,0
111,2,0,0
111,3,0,0
111,4,0,0
111,5,0,0
111,6,0,0
111,7,0,0
111,8,218,6
111,9,401,14
111,10,210,6
112,1,0,0
112,2,0,0
112,3,0,0
112,4,0,0
112,5,0,0
112,6,0,0
112,7,0,0
112,8,218,6
112,9,401,14
112,10,245,7
113,1,0,0
113,2,0,0
113,3,0,0
113,4,0,0
113,5,0,0
113,6,0,0
113,7,0,0
113,8,218,6
113,9,421,15
113,10,245,7
114,1,0,0
114,2,0,0
114,3,0,0
114,4,0,0
114,5,0,0
114,6,0,0
114,7,0,0
114,8,218,6
114,9,421,15
114,10,256,8
115,1,0,0
115,2,0,0
115,3,0,0
115,4,0,0
115,5,0,0
115,6,0,0
115,7,48,1
115,8,218,6
115,9,421,15
115,10,256,8
116,1,0,0
116,2,0,0
116,3,0,0
116,4,0,0
116,5,0,0
116,6,0,0
116,7,48,1
116,8,218,6
116,9,449,16
116,10,219,7
117,1,0,0
117,2,0,0
117,3,0,0
117,4,0,0
117,5,0,0
117,6,0,0
117,7,48,1
117,8,218,6
117,9,449,16
117,10,205,6
118,1,0,0
118,2,0,0
118,3,0,0
118,4,0,0
118,5,0,0
118,6,0,0
118,7,48,1
118,8,218,6
118,9,465,17
118,10,205,6
119,1,0,0
119,2,0,0
119,3,0,0
119,4,0,0
119,5,0,0
119,6,0,0
119,7,48,1
119,8,252,7
119,9,465,17
119,10,205,6
120,1,0,0
120,2,0,0
120,3,0,0
120,4,0,0
120,5,0,0
120,6,0,0
120,7,48,1
120,8,252,7
120,9,465,17
120,10,221,7
121,1,0,0
121,2,0,0
121,3,0,0
121,4,0,0
121,5,0,0
121,6,0,0
121,7,71,2
121,8,252,7
121,9,465,17
121,10,221,7
122,1,0,0
122,2,0,0
122,3,0,0
122,4,0,0
122,5,0,0
122,6,0,0
122,7,71,2
122,8,252,7
122,9,465,17
122,10,221,7
123,1,0,0
123,2,0,0
123,3,0,0
123,4,0,0
123,5,0,0
123,6,0,0
123,7,71,2
123,8,252,7
123,9,465,17
123,10,221,7
124,1,0,0
124,2,0,0
124,3,0,0
124,4,0,0
124,5,0,0
124,6,0,0
124,7,71,2
124,8,252,7
124,9,465,17
124,10,221,7
125,1,0,0
125,2,0,0
125,3,0,0
125,4,0,0
125,5,0,0
125,6,0,0
125,7,71,2
125,8,252,7
125,9,465,17
125,10,253,8
126,1,0,0
126,2,0,0
126,3,0,0
126,4,0,0
126,5,0,0
126,6,0,0
126,7,71,2
126,8,252,7
126,9,465,17
126,10,253,8
127,1,0,0
127,2,0,0
127,3,0,0
127,4,0,0
127,5,0,0
127,6,0,0
127,7,71,2
127,8,252,7
127,9,488,18
127,10,253,8
128,1,0,0
128,2,0,0
128,3,0,0
128,4,0,0
128,5,0,0
128,6,0,0
128,7,71,2
128,8,252,7
128,9,488,18
128,10,299,9
129,1,0,0
129,2,0,0
129,3,0,0
129,4,0,0
129,5,0,0
129,6,0,0
129,7,71,2
129,8,252,7
129,9,488,18
129,10,312,10
130,1,0,0
130,2,0,0
130,3,0,0
130,4,0,0
130,5,0,0
130,6,0,0
130,7,111,3
130,8,252,7
130,9,488,18
130,10,312,10
131,1,0,0
131,2,0,0
131,3,0,0
131,4,0,0
131,5,0,0
131,6,0,0
131,7,63,2
131,8,252,7
131,9,488,18
131,10,345,11
132,1,0,0
132,2,0,0
132,3,0,0
132,4,0,0
132,5,0,0
132,6,0,0
132,7,63,2
132,8,284,8
132,9,488,18
132,10,345,11
133,1,0,0
133,2,0,0
133,3,0,0
133,4,0,0
133,5,0,0
133,6,0,0
133,7,63,2
133,8,284,8
133,9,488,18
133,10,381,12
134,1,0,0
134,2,0,0
134,3,0,0
134,4,0,0
134,5,0,0
134,6,0,0
134,7,63,2
134,8,284,8
134,9,488,18
134,10,415,13
135,1,0,0
135,2,0,0
135,3,0,0
135,4,0,0
135,5,0,0
135,6,0,0
135,7,63,2
135,8,284,8
135,9,488,18
135,10,415,13
136,1,0,0
136,2,0,0
136,3,0,0
136,4,0,0
136,5,0,0
136,6,0,0
136,7,63,2
136,8,284,8
136,9,488,18
136,10,415,13
137,1,0,0
137,2,0,0
137,3,0,0
